epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,3233.65,0.62203,0.61421,1.17321,0.75836,0.83188,0.84127,0.56669,0.95671,0.88316,1.61866,0.000486262,0.000486262,0.000486262
144,3255.83,0.61085,0.5883,1.1685,0.86059,0.78598,0.87918,0.60985,0.90335,0.76898,1.57774,0.000481863,0.000481863,0.000481863
145,3277.7,0.61702,0.6018,1.16776,0.83492,0.80443,0.87299,0.6033,0.94705,0.76711,1.6305,0.000477463,0.000477463,0.000477463
146,3300.35,0.59564,0.57106,1.14853,0.80737,0.78257,0.84325,0.58575,0.93571,0.83178,1.63123,0.000473064,0.000473064,0.000473064
147,3320.21,0.60593,0.56738,1.15858,0.85599,0.76525,0.8599,0.59458,0.95261,0.78729,1.66267,0.000468664,0.000468664,0.000468664
148,3341.49,0.59588,0.56579,1.14799,0.79793,0.84781,0.86476,0.59591,0.93317,0.78071,1.62167,0.000464265,0.000464265,0.000464265
149,3365.24,0.60779,0.56819,1.1693,0.78676,0.82073,0.89159,0.61721,0.93759,0.77227,1.65876,0.000459865,0.000459865,0.000459865
150,3386.42,0.62372,0.58684,1.16504,0.83077,0.8513,0.86851,0.59919,0.94669,0.75015,1.66055,0.000455466,0.000455466,0.000455466
151,3407.48,0.61605,0.60935,1.16876,0.86858,0.80157,0.85662,0.59397,0.96705,0.79781,1.6756,0.000451066,0.000451066,0.000451066
152,3428.19,0.58152,0.55549,1.14124,0.81702,0.76477,0.83252,0.59905,0.9241,0.81475,1.65322,0.000446666,0.000446666,0.000446666
153,3448.9,0.58477,0.57332,1.14909,0.82532,0.70532,0.82307,0.58857,0.93697,0.83768,1.65613,0.000442267,0.000442267,0.000442267
154,3471.08,0.60515,0.58169,1.16459,0.78324,0.8276,0.85853,0.60557,0.94505,0.78418,1.65434,0.000437867,0.000437867,0.000437867
155,3496.83,0.58834,0.54985,1.14477,0.7919,0.81716,0.84642,0.58274,0.95258,0.83569,1.67644,0.000433468,0.000433468,0.000433468
156,3517.79,0.60663,0.5618,1.16191,0.82211,0.82503,0.87186,0.61147,0.92763,0.75595,1.62859,0.000429068,0.000429068,0.000429068
157,3538.52,0.59796,0.55751,1.14471,0.82009,0.80135,0.85923,0.59907,0.93129,0.78176,1.63434,0.000424669,0.000424669,0.000424669
158,3559.3,0.5988,0.56221,1.16427,0.82468,0.85959,0.88325,0.62544,0.90728,0.70753,1.6084,0.000420269,0.000420269,0.000420269
159,3580.52,0.57959,0.55763,1.14486,0.84703,0.7836,0.8596,0.6291,0.86415,0.77745,1.5461,0.00041587,0.00041587,0.00041587
160,3603.16,0.58354,0.56151,1.15466,0.85666,0.77673,0.86749,0.63291,0.87922,0.71992,1.59197,0.00041147,0.00041147,0.00041147
161,3623.5,0.57739,0.55713,1.1583,0.72548,0.84467,0.85241,0.60176,0.93499,0.81184,1.65727,0.00040707,0.00040707,0.00040707
162,3643.87,0.58574,0.55501,1.15558,0.85455,0.7952,0.88795,0.62554,0.93389,0.71687,1.65563,0.000402671,0.000402671,0.000402671
